state,biden_pct,trump_pct,winner,margin,political_lean,urban_pct,rural_pct,urban_rural_class,year,vax_rate
AL,36.6,62.0,Trump,25.4,Red,59.0,41.0,Mixed,2020,0.0004315132865034076
AL,36.6,62.0,Trump,25.4,Red,59.0,41.0,Mixed,2021,27.197961973305553
AL,36.6,62.0,Trump,25.4,Red,59.0,41.0,Mixed,2022,50.618607481275326
AL,36.6,62.0,Trump,25.4,Red,59.0,41.0,Mixed,2023,53.15234356529695
AK,42.8,52.8,Trump,10.0,Red,66.0,34.0,Urban,2020,0.0028706368029307833
AK,42.8,52.8,Trump,10.0,Red,66.0,34.0,Urban,2021,36.742884102392786
AK,42.8,52.8,Trump,10.0,Red,66.0,34.0,Urban,2022,61.317762494586894
AK,42.8,52.8,Trump,10.0,Red,66.0,34.0,Urban,2023,65.1214678666744
AZ,49.4,49.1,Biden,0.3,Blue,89.8,10.2,Urban,2020,0.0007180270629389334
AZ,49.4,49.1,Biden,0.3,Blue,89.8,10.2,Urban,2021,35.10941064333028
AZ,49.4,49.1,Biden,0.3,Blue,89.8,10.2,Urban,2022,60.909565201162195
AZ,49.4,49.1,Biden,0.3,Blue,89.8,10.2,Urban,2023,66.05680716301484
AR,34.8,62.4,Trump,27.6,Red,56.2,43.8,Mixed,2020,0.0015033587685824388
AR,34.8,62.4,Trump,27.6,Red,56.2,43.8,Mixed,2021,30.400864654862975
AR,34.8,62.4,Trump,27.6,Red,56.2,43.8,Mixed,2022,53.98264093479555
AR,34.8,62.4,Trump,27.6,Red,56.2,43.8,Mixed,2023,56.876793784312596
CA,63.5,34.3,Biden,29.2,Blue,95.0,5.0,Urban,2020,0.0007101067114558982
CA,63.5,34.3,Biden,29.2,Blue,95.0,5.0,Urban,2021,39.907678514486825
CA,63.5,34.3,Biden,29.2,Blue,95.0,5.0,Urban,2022,71.1077102420323
CA,63.5,34.3,Biden,29.2,Blue,95.0,5.0,Urban,2023,74.71197430409532
CO,55.4,41.9,Biden,13.5,Blue,86.2,13.8,Urban,2020,8.408277898410163e-05
CO,55.4,41.9,Biden,13.5,Blue,86.2,13.8,Urban,2021,28.115270434345312
CO,55.4,41.9,Biden,13.5,Blue,86.2,13.8,Urban,2022,69.72181822805987
CO,55.4,41.9,Biden,13.5,Blue,86.2,13.8,Urban,2023,73.53842195487636
CT,59.3,39.2,Biden,20.1,Blue,88.0,12.0,Urban,2020,0.0005388213155291419
CT,59.3,39.2,Biden,20.1,Blue,88.0,12.0,Urban,2021,47.184924546661115
CT,59.3,39.2,Biden,20.1,Blue,88.0,12.0,Urban,2022,78.55616269911107
CT,59.3,39.2,Biden,20.1,Blue,88.0,12.0,Urban,2023,83.0535854255359
DE,58.7,39.8,Biden,18.9,Blue,83.3,16.7,Urban,2020,0.0004323969992513046
DE,58.7,39.8,Biden,18.9,Blue,83.3,16.7,Urban,2021,39.508710248096456
DE,58.7,39.8,Biden,18.9,Blue,83.3,16.7,Urban,2022,68.38349870273417
